sick_cd_3,sick_cd_4,sick_desc_kor,sick_desc_eng,gender,age_limit_u,age_limit_l
A05,A059,상세불명의 세균성 식중독,"Bacterial foodborne intoxication, unspecified",,,
A06,,아메바증,Amoebiasis,,,
A06,A060,급성 아메바이질,Acute amoebic dysentery,,,
A06,A061,만성 장아메바증,Chronic intestinal amoebiasis,,,
A06,A062,아메바성 비이질성 결장염,Amoebic nondysenteric colitis,,,
A06,A063,장의 아메바종,Amoeboma of intestine,,,
A06,A064,아메바성 간농양(K77.0*),Amoebic liver abscess(K77.0*),,,
A06,A065,아메바성 폐농양(J99.8*),Amoebic lung abscess(J99.8*),,,
A06,A066,아메바성 뇌농양(G07*),Amoebic brain abscess(G07*),,,
A06,A067,피부아메바증,Cutaneous amoebiasis,,,
A06,A068,기타 부위의 아메바성 감염,Amoebic infection of other sites,,,
A06,A069,상세불명의 아메바증,"Amoebiasis, unspecified",,,
A07,,기타 원충성 장질환,Other protozoal intestinal diseases,,,
A07,A070,대장섬모충증,Balantidiasis,,,
A07,A071,편모충증[람블편모충증],Giardiasis [lambliasis],,,
A07,A072,와포자충증,Cryptosporidiosis,,,
A07,A073,등포자충증,Isosporiasis,,,
A07,A078,기타 명시된 원충성 장질환,Other specified protozoal intestinal diseases,,,
A07,A079,상세불명의 원충성 장질환,"Protozoal intestinal disease, unspecified",,,
A08,,바이러스성 및 기타 명시된 장감염,Viral and other specified intestinal infections,,,
A08,A080,로타바이러스장염,Rotaviral enteritis,,,
A08,A081,노워크병원체에 의한 급성 위장병증,Acute gastroenteropathy due to Norwalk agent,,,
A08,A082,아데노바이러스장염,Adenoviral enteritis,,,
A08,A083,기타 바이러스장염,Other viral enteritis,,,
A08,A084,상세불명의 바이러스성 장감염,"Viral intestinal infection, unspecified",,,
A08,A085,기타 명시된 장감염,Other specified intestinal infections,,,
A09,,감염성 및 상세불명 기원의 기타 위장염 및 결장염,Other gastroenteritis and colitis of infectious and unspecified origin,,,
A15,,세균학적 및 조직학적으로 확인된 호흡기결핵,"Respiratory tuberculosis, bacteriologically and histologically confirmed",,,
A15,A150,배양 유무에 관계없이 가래 현미경 검사로 확인된 폐결핵,"Tuberculous of lung, confirmed by sputum microscopy with or without culture",,,
A15,A151,배양만으로 확인된 폐결핵,"Tuberculosis of lung, confirmed by culture only",,,
A15,A152,조직학적으로 확인된 폐결핵,"Tuberculosis of lung, confirmed histologically",,,
A15,A153,상세불명의 수단으로 확인된 폐결핵,"Tuberculosis of lung, confirmed by unspecified means",,,
A15,A154,세균학적 및 조직학적으로 확인된 흉곽내림프절의 결핵,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",,,
A15,A155,"세균학적 및 조직학적으로 확인된 후두, 기관 및 기관지의 결핵","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",,,
A15,A156,세균학적 및 조직학적으로 확인된 결핵성 흉막염,"Tuberculous pleurisy, confirmed bacteriologically and histologically",,,
A15,A157,세균학적 및 조직학적으로 확인된 일차호흡기결핵,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",,,
A15,A158,세균학적 및 조직학적으로 확인된 기타 호흡기결핵,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",,,
A15,A159,세균학적 및 조직학적으로 확인된 상세불명의 호흡기결핵,"Respiratory tuberculosis unspecified, confirmed Confirmed bacteriologically and histologically",,,
A16,,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",,,
A16,A160,세균학적 및 조직학적으로 음성인 폐결핵,"Tuberculosis of lung, bacteriologically and histologically negative",,,
A16,A161,세균학적 및 조직학적 검사를 하지 않은 폐결핵,"Tuberculosis of lung, bacteriological and histological examination not done",,,
A16,A162,세균학적 또는 조직학적 확인에 대한 언급이 없는 폐결핵,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",,,
A16,A163,세균학적 또는 조직학적 확인에 대한 언급이 없는 흉곽내림프절의 결핵,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",,,
A16,A164,"세균학적 또는 조직학적 확인에 대한 언급이 없는 후두, 기관 및 기관지 결핵","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histologicalconfirmation",,,
A16,A165,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 흉막염,"Tuberculous pleurisy, without mention of bacteriological or histologicalconfirmation",,,
A16,A167,세균학적 또는 조직학적 확인에 대한 언급이 없는 일차호흡기결핵,"Primary respiratory tuberculosis , without mention of bacteriological or histologicalconfirmation",,,
A16,A168,세균학적 또는 조직학적 확인에 대한 언급이 없는 기타 호흡기결핵,"Other respiratory tuberculosis, without mention of bacteriological or histologicalconfirmation",,,
A16,A169,세균학적 또는 조직학적 확인에 대한 언급이 없는 상세불명의 호흡기결핵,"Respiratory tuberculosis unspecified, without mention of bacteriological or histologicalconfirmation",,,
A17,,신경계통의 결핵,Tuberculosis of nervous system,,,
A17,A170,결핵성 수막염(G01*),Tuberculous meningitis(G01*),,,
A17,A171,수막결핵종(G07*),Meningeal tuberculoma(G07*),,,
A17,A178,기타 신경계통의 결핵,Other tuberculosis of nervous system,,,
A17,A179,신경계통의 상세불명 결핵(G99.8*),"Tuberculosis of nervous system, unspecified(G99.8*)",,,
A18,,기타 기관의 결핵,Tuberculosis of other organs,,,
A18,A180,골 및 관절의 결핵,Tuberculosis of bones and joints,,,
A18,A181,비뇨생식계통의 결핵,Tuberculosis of genitourinary system,,,
A18,A182,결핵성 말초림프절병증,Tuberculous peripheral lymphadenopathy,,,
A18,A183,"장, 복막 및 장간막 림프절의 결핵","Tuberculosis of intestines, peritoneum and mesenteric glands",,,
A18,A184,피부 및 피하조직의 결핵,Tuberculosis of skin and subcutaneous tissue,,,
A18,A185,눈의 결핵,Tuberculosis of eye,,,
A18,A186,귀의 결핵,Tuberculosis of ear,,,
A18,A187,부신의 결핵(E35.1*),Tuberculosis of adrenal glands(E35.1*),,,
A18,A188,기타 명시된 기관의 결핵,Tuberculosis of other specified organs,,,
A19,,좁쌀결핵,Miliary tuberculosis,,,
A19,A190,하나로 명시된 부위의 급성 좁쌀결핵,Acute miliary tuberculosis of a single specified site,,,
A19,A191,여러 부위의 급성 좁쌀결핵,Acute miliary tuberculosis of multiple sites,,,
A19,A192,상세불명의 급성 좁쌀결핵,"Acute miliary tuberculosis, unspecified",,,
A19,A198,기타 좁쌀결핵,Other miliary tuberculosis,,,
A19,A199,상세불명의 좁쌀결핵,"Miliary tuberculosis, unspecified",,,
A20,,페스트,Plague,,,
A20,A200,림프절형페스트,Bubonic plague,,,
A20,A201,연조직피부형페스트,Cellulocutaneous plague,,,
A20,A202,폐렴형페스트,Pneumonic plague,,,
A20,A203,페스트수막염,Plague meningitis,,,
A20,A207,패혈증형페스트,Septicaemic plague,,,
A20,A208,기타 형태의 페스트,Other forms of plague,,,
A20,A209,상세불명의 페스트,"Plague, unspecified",,,
A21,,야생토끼병,Tularaemia,,,
A21,A210,궤양림프절야생토끼병,Ulceroglandular tularaemia,,,
A21,A211,눈림프절야생토끼병,Oculoglandular tularaemia,,,
A21,A212,폐야생토끼병,Pulmonary tularaemia,,,
A21,A213,위장야생토끼병,Gastrointestinal tularaemia,,,
A21,A217,전신야생토끼병,Generalized tularaemia,,,
A21,A218,기타 형태의 야생토끼병,Other forms of tularaemia,,,
A21,A219,상세불명의 야생토끼병,"Tularaemia, unspecified",,,
A22,,탄저병,Anthrax,,,
A22,A220,피부탄저병,Cutaneous anthrax,,,
A22,A221,폐탄저병,Pulmonary anthrax,,,
A22,A222,위장탄저병,Gastrointestinal anthrax,,,
A22,A227,탄저병패혈증,Anthrax sepsis,,,
A22,A228,기타 형태의 탄저병,Other forms of anthrax,,,
A22,A229,상세불명의 탄저병,"Anthrax, unspecified",,,
A23,,브루셀라병,Brucellosis,,,
A23,A230,브루셀라 멜리텐시스에 의한 브루셀라병,Brucellosis due to Brucella melitensis,,,
A23,A231,브루셀라 아보르투스에 의한 브루셀라병,Brucellosis due to Brucella abortus,,,
A23,A232,브루셀라 수이스에 의한 브루셀라병,Brucellosis due to Brucella suis,,,
A23,A233,브루셀라 카니스에 의한 브루셀라병,Brucellosis due to Brucella canis,,,
A23,A238,기타 브루셀라병,Other brucellosis,,,
A23,A239,상세불명의 브루셀라병,"Brucellosis, unspecified",,,
A24,,마비저 및 유사비저,Glanders and Melioidosis,,,
A24,A240,마비저,Glanders,,,
A24,A241,급성 및 전격성 유사비저,Acute and fulminating melioidosis,,,
A24,A242,아급성 및 만성 유사비저,Subacute and chronic melioidosis,,,
A24,A243,기타 유사비저,Other melioidosis,,,
A24,A244,상세불명의 유사비저,"Melioidosis, unspecified",,,
A25,,쥐물음열,Rat-bite fevers,,,
A25,A250,스피릴룸증,Spirillosis,,,
A25,A251,연쇄간균증,Streptobacillosis,,,
A25,A259,상세불명의 쥐물음열,"Rat-bite fever, unspecified",,,
A26,,유사단독,Erysipeloid,,,
A26,A260,피부유사단독,Cutaneous erysipeloid,,,
A26,A267,에리시펠로트릭스 패혈증,Erysipelothrix sepsis,,,
A26,A268,기타 형태의 유사단독,Other forms of erysipeloid,,,
A26,A269,상세불명의 유사단독,"Erysipeloid, unspecified",,,
A27,,렙토스피라병,Leptospirosis,,,
A27,A270,황달출혈성 렙토스피라병,Leptospirosis icterohaemorrhagica,,,
A27,A278,기타 형태의 렙토스피라병,Other forms of leptospirosis,,,
A27,A279,상세불명의 렙토스피라병,"Leptospirosis, unspecified",,,
A28,,달리 분류되지 않은 기타 동물매개의 세균성 질환,"Other zoonotic bacterial diseases, NEC",,,
A28,A280,파스퇴렐라증,Pasteurellosis,,,
A28,A281,고양이할큄병,Cat-scratch disease,,,
A28,A282,장외예르시니아증,Extraintestinal yersiniosis,,,
A28,A288,달리 분류되지 않은 기타 명시된 동물매개의 세균성 질환,"Other specified zoonotic bacterial diseases, NEC",,,
A28,A289,상세불명의 동물매개의 세균성 질환,"Zoonotic bacterial disease, unspecified",,,
A30,,나병[한센병],Leprosy[Hansen’s disease],,,
A30,A300,부정나병,Indeterminate leprosy,,,
A30,A301,결핵모양나병,Tuberculoid leprosy,,,
A30,A302,경계결핵모양나병,Borderline tuberculoid leprosy,,,
A30,A303,경계나병,Borderline leprosy,,,
A30,A304,경계나병종나병,Borderline lepromatous leprosy,,,
A30,A305,나병종나병,Lepromatous leprosy,,,
A30,A308,기타 형태의 나병,Other forms of leprosy,,,
A30,A309,상세불명의 나병,"Leprosy, unspecified",,,
A31,,기타 형태의 마이코박테리아에 의한 감염,Infection due to other mycobacteria,,,
A31,A310,폐마이코박테리아감염,Pulmonary mycobacterial infection,,,
A31,A311,피부마이코박테리아감염,Cutaneous mycobacterial infection,,,
A31,A318,기타 마이코박테리아감염,Other mycobacterial infections,,,
A31,A319,상세불명의 마이코박테리아감염,"Mycobacterial infection, unspecified",,,
A32,,리스테리아증,Listeriosis,,,
A32,A320,피부리스테리아증,Cutaneous listeriosis,,,
A32,A321,리스테리아 수막염 및 수막뇌염,Listerial meningitis and meningoencephalitis,,,
A32,A327,리스테리아패혈증,Listerial sepsis,,,
A32,A328,기타 형태의 리스테리아증,Other forms of listeriosis,,,
A32,A329,상세불명의 리스테리아증,"Listeriosis, unspecified",,,
A33,,신생아파상풍,Tetanus neonatorum,,,
A34,,산과적 파상풍,Obstetrical tetanus,2,,
A35,,기타 파상풍,Other tetanus,,,
A36,,디프테리아,Diphtheria,,,
A36,A360,인두디프테리아,Pharyngeal diphtheria,,,
A36,A361,비인두디프테리아,Nasopharyngeal diphtheria,,,
A36,A362,후두디프테리아,Laryngeal diphtheria,,,
A36,A363,피부디프테리아,Cutaneous diphtheria,,,
A36,A368,기타 디프테리아,Other diphtheria,,,
A36,A369,상세불명의 디프테리아,"Diphtheria, unspecified",,,
A37,,백일해,Whooping cough,,,
A37,A370,보르데텔라 페르투시스에 의한 백일해,Whooping cough due to Bordetella pertussis,,,
A37,A371,보르데텔라 파라페르투시스에 의한 백일해,Whooping cough due to Bordetella para- pertussis,,,
A37,A378,기타 보르데텔라균에 의한 백일해,Whooping cough due to other Bordetella species,,,
A37,A379,상세불명의 백일해,"Whooping cough, unspecified",,,
A38,,성홍열,Scarlet fever,,,
A39,,수막구균감염,Meningococcal infection,,,
A39,A390,수막구균수막염(G01*),Meningococcal meningitis(G01*),,,
A39,A391,워터하우스-프리데릭센증후군(E35.1*),Waterhouse-Friderichsen syndrome(E35.1*),,,
A39,A392,급성 수막구균혈증,Acute meningococcaemia,,,
A39,A393,만성 수막구균혈증,Chronic meningococcaemia,,,
A39,A394,상세불명의 수막구균혈증,"Meningococcaemia, unspecified",,,
A39,A395,수막구균성 심장병,Meningococcal heart disease,,,
A39,A398,기타 수막구균감염,Other meningococcal infections,,,
A39,A399,상세불명의 수막구균감염,"Meningococcal infection, unspecified",,,
A40,,연쇄구균패혈증,Streptococcal sepsis,,,
A40,A400,연쇄구균A군에 의한 패혈증,"Sepsis due to streptococcus, group A",,,
A40,A401,연쇄구균B군에 의한 패혈증,"Sepsis due to streptococcus, group B",,,
A40,A402,연쇄구균D군에 의한 패혈증,"Sepsis due to streptococcus, group D",,,
A40,A403,폐렴연쇄구균에 의한 패혈증,Sepsis due to Streptococcus pneumoniae,,,
A40,A408,기타 연쇄구균패혈증,Other streptococcal sepsis,,,
A40,A409,상세불명의 연쇄구균패혈증,"Streptococcal sepsis, unspecified",,,
A41,,기타 패혈증,Other sepsis,,,
A41,A410,황색포도구균에 의한 패혈증,Sepsis due to Staphylococcus aureus,,,
A41,A411,기타 명시된 포도구균에 의한 패혈증,Sepsis due to other specified staphylococcus,,,
A41,A412,상세불명의 포도구균에 의한 패혈증,Sepsis due to unspecified staphylococcus,,,
A41,A413,인플루엔자균에 의한 패혈증,Sepsis due to Haemophilus influenzae,,,
A41,A414,무산소균에 의한 패혈증,Sepsis due to anaerobes,,,
A41,A415,기타 그람음성균에 의한 패혈증,Sepsis due to other Gram-negative organisms,,,
A41,A418,기타 명시된 패혈증,Other specified sepsis,,,
A41,A419,상세불명의 패혈증,"Sepsis, unspecified",,,
A42,,방선균증,Actinomycosis,,,
A42,A420,폐방선균증,Pulmonary actinomycosis,,,
A42,A421,복부방선균증,Abdominal actinomycosis,,,
A42,A422,목얼굴방선균증,Cervicofacial actinomycosis,,,
A42,A427,방선균패혈증,Actinomycotic sepsis,,,
A42,A428,기타 형태의 방선균증,Other forms of actinomycosis,,,
A42,A429,상세불명의 방선균증,"Actinomycosis, unspecified",,,
A43,,노카르디아증,Nocardiosis,,,
A43,A430,폐노카르디아증,Pulmonary nocardiosis,,,
A43,A431,피부노카르디아증,Cutaneous nocardiosis,,,
A43,A438,기타 형태의 노카르디아증,Other forms of nocardiosis,,,
A43,A439,상세불명의 노카르디아증,"Nocardiosis, unspecified",,,
A44,,바르토넬라병,Bartonellosis,,,
A44,A440,전신바르토넬라병,Systemic bartonellosis,,,
A44,A441,피부 및 점막피부 바르토넬라병,Cutaneous and mucocutaneous bartonellosis,,,
A44,A448,기타 형태의 바르토넬라병,Other forms of bartonellosis,,,
A44,A449,상세불명의 바르토넬라병,"Bartonellosis, unspecified",,,
A46,,단독(丹毒),Erysipelas,,,
A48,,달리 분류되지 않은 기타 세균성 질환,"Other bacterial diseases, NEC",,,
A48,A480,가스괴저,Gas gangrene,,,
A48,A481,재향군인병,Legionnaires’ disease,,,
A48,A482,비폐렴성 재향군인병[폰티액열],Nonpneumonic Legionnaires’ disease [Pontiac fever],,,
A48,A483,독성쇼크증후군,Toxic shock syndrome,,,
A48,A484,브라질자반열,Brazilian purpuric fever,,,
A48,A488,기타 명시된 세균성 질환,Other specified bacterial diseases,,,
A49,,상세불명 부위의 세균감염,Bacterial infection of unspecified site,,,
A49,A490,상세불명 부위의 포도구균감염,"Staphylococcal infection, unspecified site",,,
A49,A491,상세불명 부위의 연쇄구균 및 장내구균 감염,"Streptococcal and enterococcal infection, unspecified site",,,
A49,A492,상세불명 부위의 인플루엔자균감염,"Haemophilus influenzae infection, unspecified site",,,
A49,A493,상세불명 부위의 마이코플라스마감염,"Mycoplasma infection, unspecified site",,,
A49,A498,상세불명 부위의 기타 세균감염,Other bacterial infections of unspecified site,,,
A49,A499,상세불명의 세균감염,"Bacterial infection, unspecified",,,
A50,,선천매독,Congenital syphilis,,,
A50,A500,증상성 조기선천매독,"Early congenital syphilis, symptomatic",,,
A50,A501,잠복성 조기선천매독,"Early congenital syphilis, latent",,,
A50,A502,상세불명의 조기선천매독,"Early congenital syphilis, unspecified",,,
A50,A503,만기 선천매독성 눈병증,Late congenital syphilitic oculopathy,,,
A50,A504,만기 선천성 신경매독[연소성 신경매독],Late congenital neurosyphilis [juvenile neurosy- philis],,,
A50,A505,기타 증상성 만기선천매독,"Other late congenital syphilis, symptomatic",,,
A50,A506,잠복성 만기선천매독,"Late congenital syphilis, latent",,,
A50,A507,상세불명의 만기선천매독,"Late congenital syphilis, unspecified",,,
A50,A509,상세불명의 선천매독,"Congenital syphilis, unspecified",,,
A51,,조기매독,Early syphilis,,,
A51,A510,생식기의 일차매독,Primary genital syphilis,,,
A51,A511,항문의 일차매독,Primary anal syphilis,,,
A51,A512,기타 부위의 일차매독,Primary syphilis of other sites,,,
A51,A513,피부 및 점막의 이차매독,Secondary syphilis of skin and mucous membranes,,,
A51,A514,매독성 기타 이차매독,Syphilitic other secondary syphilis,,,
A51,A515,잠복성 조기매독,"Early syphilis, latent",,,
A51,A519,상세불명의 조기매독,"Early syphilis, unspecified",,,
A52,,만기매독,Late syphilis,,,
A52,A520,심혈관매독,Cardiovascular syphilis,,,
A52,A521,증상성 신경매독,Symptomatic neurosyphilis,,,
A52,A522,무증상신경매독,Asymptomatic neurosyphilis,,,
A52,A523,상세불명의 신경매독,"Neurosyphilis, unspecified",,,
A52,A527,기타 증상성 만기매독,Other symptomatic late syphilis,,,
A52,A528,잠복성 만기매독,"Late syphilis, latent",,,
A52,A529,상세불명의 만기매독,"Late syphilis, unspecified",,,
A53,,기타 및 상세불명의 매독,Other and unspecified syphilis,,,
A53,A530,조기인지 만기인지 상세불명의 잠복매독,"Latent syphilis, unspecified as early or late",,,
A53,A539,상세불명의 매독,"Syphilis, unspecified",,,
A54,,임균감염,Gonococcal infection,,,
A54,A540,요도주위 또는 부속선에 농양이 없는 하부 비뇨생식관의 임균감염,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,,,
A54,A541,요도주위 및 부속선에 농양이 있는 하부 비뇨생식관의 임균감염,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,,,
A54,A542,임균성 골반복막염 및 기타 임균성 비뇨생식기감염,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,,,
A54,A543,눈의 임균감염,Gonococcal infection of eye,,,
A54,A544,근골격계통의 임균감염,Gonococcal infection of musculoskeletal system,,,
A54,A545,임균인두염,Gonococcal pharyngitis,,,
A54,A546,항문 및 직장의 임균감염,Gonococcal infection of anus and rectum,,,
A54,A548,기타 임균감염,Other gonococcal infections,,,
A54,A549,상세불명의 임균감염,"Gonococcal infection, unspecified",,,
A55,,클라미디아림프육아종(성병성),Chlamydial lymphogranuloma(venereum),,,
A56,,기타 성행위로 전파되는 클라미디아질환,Other sexually transmitted chlamydial diseases,,,
A56,A560,하부비뇨생식관의 클라미디아감염,Chlamydial infection of lower genitourinary tract,,,
A56,A561,골반복막 및 기타 비뇨생식기관의 클라미디아감염,Chlamydial infection of pelviperitoneum and other genitourinary organs,,,
A56,A562,상세불명의 비뇨생식관의 클라미디아감염,"Chlamydial infection of genitourinary tract, unspecified",,,
A56,A563,항문 및 직장의 클라미디아감염,Chlamydial infection of anus and rectum,,,
A56,A564,인두의 클라미디아감염,Chlamydial infection of pharynx,,,
A56,A568,기타 부위의 성행위로 전파되는 클라미디아감염,Sexually transmitted chlamydial infection of other sites,,,
A57,,무른궤양,Chancroid,,,
A58,,사타구니육아종,Granuloma inguinale,,,
A59,,편모충증,Trichomoniasis,,,
A59,A590,비뇨생식기의 편모충증,Urogenital trichomoniasis,,,
A59,A598,기타 부위의 편모충증,Trichomoniasis of other sites,,,
A59,A599,상세불명의 편모충증,"Trichomoniasis, unspecified",,,
A60,,항문생식기의 헤르페스바이러스[단순헤르페스]감염,Anogenital herpesviral [herpes simplex] infection,,,
A60,A600,생식기 및 비뇨생식관의 헤르페스바이러스감염,Herpesviral infection of genitalia and urogenital tract,,,
A60,A601,항문주위피부 및 직장의 헤르페스바이러스감염,Herpesviral infection of perianal skin and rectum,,,
A60,A609,상세불명의 항문생식기의 헤르페스바이러스감염,"Anogenital herpesviral infection, unspecified",,,
A63,,달리 분류되지 않은 기타 주로 성행위로 전파되는 질환,"Other predominantly sexually transmitted diseases, NEC",,,
A63,A630,항문생식기의(성병성) 사마귀,Anogenital(venereal) warts,,,
A63,A638,기타 명시된 주로 성행위로 전파되는 질환,Other specified predominantly sexually transmitted diseases,,,
A64,,상세불명의 성매개질환,Unspecified sexually transmitted disease,,,
A65,,비성병성 매독,Nonvenereal syphilis,,,
A66,,요스,Yaws,,,
A66,A660,요스의 초기병변,Initial lesions of yaws,,,
A66,A661,다발성 유두종 및 습성 요스,Multiple papillomata and wet crab yaws,,,
A66,A662,기타 요스의 조기피부병변,Other early skin lesions of yaws,,,
A66,A663,요스의 과각화증,Hyperkeratosis of yaws,,,
A66,A664,요스의 고무종 및 궤양,Gummata and ulcers of yaws,,,
A66,A665,강고사,Gangosa,,,
A66,A666,요스의 골 및 관절 병변,Bone and joint lesions of yaws,,,
A66,A667,기타 요스의 증상,Other manifestations of yaws,,,
A66,A668,잠복요스,Latent yaws,,,
A66,A669,상세불명의 요스,"Yaws, unspecified",,,
A67,,핀타,Pinta[carate],,,
A67,A670,핀타의 일차병변,Primary lesions of pinta,,,
A67,A671,핀타의 중간병변,Intermediate lesions of pinta,,,
A67,A672,핀타의 만기병변,Late lesions of pinta,,,
A67,A673,핀타의 혼합병변,Mixed lesions of pinta,,,
A67,A679,상세불명의 핀타,"Pinta, unspecified",,,
A68,,재귀열,Relapsing fevers,,,
A68,A680,이매개 재귀열,Louse-borne relapsing fever,,,
A68,A681,진드기매개 재귀열,Tick-borne relapsing fever,,,
A68,A689,상세불명의 재귀열,"Relapsing fever, unspecified",,,
A69,,기타 스피로헤타감염,Other spirochaetal infections,,,
A69,A690,괴사궤양성 구내염,Necrotizing ulcerative stomatitis,,,
A69,A691,기타 뱅상감염,Other Vincent’s infections,,,
A69,A692,라임병,Lyme disease,,,
A69,A698,기타 명시된 스피로헤타감염,Other specified spirochaetal infections,,,
A69,A699,상세불명의 스피로헤타감염,"Spirochaetal infection, unspecified",,,
A70,,클라미디아 시타시 감염,Chlamydia psittaci infection,,,
A71,A710,트라코마의 초기,Initial stage of trachoma,,,
A71,A711,트라코마의 활동기,Active stage of trachoma,,,
A71,A719,상세불명의 트라코마,"Trachoma, unspecified",,,
A74,,클라미디아에 의한 기타 질환,Other diseases caused by chlamydiae,,,
A74,A740,클라미디아결막염(H13.1*),Chlamydial conjunctivitis(H13.1*),,,
A74,A748,기타 클라미디아질환,Other chlamydial diseases,,,
A74,A749,상세불명의 클라미디아감염,"Chlamydial infection, unspecified",,,
A75,,발진티푸스,Typhus fever,,,
A75,A750,리케차 프로와제키에 의한 유행성 이매개발진티푸스,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,,,
A75,A751,재발성 발진티푸스[브릴병],Recrudescent typhus [Brill’s disease],,,
A75,A752,리케차 티피에 의한 발진티푸스,Typhus fever due to Rickettsia typhi,,,
A75,A753,리케차 쯔쯔가무시에 의한 발진티푸스,Typhus fever due to Rickettsia tsutsugamushi,,,
A75,A759,상세불명의 발진티푸스,"Typhus fever, unspecified",,,
A77,,홍반열[진드기매개 리케차병],Spotted fever [tick-borne rickettsioses],,,
A77,A770,리케차 리케치에 의한 홍반열,Spotted fever due to Rickettsia rickettsii,,,
A77,A771,리케차 코노리에 의한 홍반열,Spotted fever due to Rickettsia conorii,,,
A77,A772,리케차 시베리카에 의한 홍반열,Spotted fever due to Rickettsia siberica,,,
A77,A773,리케차 오스트랄리스에 의한 홍반열,Spotted fever due to Rickettsia australis,,,
A77,A778,기타 홍반열,Other spotted fevers,,,
A77,A779,상세불명의 홍반열,"Spotted fever, unspecified",,,
A78,,큐열,Q fever,,,
A79,,기타 리케차병,Other rickettsioses,,,
A79,A790,참호열,Trench fever,,,
A79,A791,리케차 아카리에 의한 리케차폭스,Rickettsialpox due to Rickettsia akari,,,
